Circuit: * D:\Sim\igbt.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 +to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 +to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 +to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 +to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 +to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 +to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 +to 0.00728385
Heightened Def Con from 0.00728385 +to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 +to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 +to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 +to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 +to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 ++to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 +to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 +to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
Heightened Def Con from 0.00728386 to 0.00728386
